-0.49 1.82 1.82 1.82 1.82 1.36 0.92
-0.15 -0.25 -0.25 -0.25 -0.25 -0.23 0.04
0.45 -2.22 -2.22 -2.22 -2.22 -1.68 1.07
-0.18 0.11 0.11 0.11 0.11 0.05 0.12
2.64 2.82 2.82 2.82 2.82 2.79 0.07
7.88 0.42 0.42 0.42 0.42 1.91 2.98
12.70 4.91 4.91 4.91 4.91 6.47 3.12
-3.06 -1.14 -1.14 -1.14 -1.14 -1.52 0.77
5.02 0.10 0.10 0.10 0.10 1.09 1.96
-0.44 -0.44 -0.44 -0.44 -0.44 -0.44 0.00
-0.79 -2.32 -2.32 -2.32 -2.32 -2.02 0.61
2.87 2.67 2.67 2.67 2.67 2.71 0.08
2.13 8.81 8.81 8.81 8.81 7.48 2.67
0.28 -1.41 -1.41 -1.41 -1.41 -1.08 0.68
0.99 0.33 0.33 0.33 0.33 0.46 0.26
-0.78 0.20 0.20 0.20 0.20 0.01 0.40
2.73 3.30 3.30 3.30 3.30 3.19 0.23
-1.25 -2.27 -2.27 -2.27 -2.27 -2.07 0.41
-7.17 -1.44 -1.44 -1.44 -1.44 -2.59 2.29
-3.65 -4.85 -4.85 -4.85 -4.85 -4.61 0.48
-7.44 2.03 2.03 2.03 2.03 0.14 3.79
1.20 0.94 0.94 0.94 0.94 0.99 0.10
-7.11 -4.12 -4.12 -4.12 -4.12 -4.72 1.20
-7.01 -4.57 -4.57 -4.57 -4.57 -5.06 0.98
-2.19 1.36 1.36 1.36 1.36 0.65 1.42
-1.15 1.68 1.68 1.68 1.68 1.11 1.13
0.63 -0.01 -0.01 -0.01 -0.01 0.12 0.25
-1.23 -4.73 -4.73 -4.73 -4.73 -4.03 1.40
1.37 3.23 3.23 3.23 3.23 2.86 0.74
7.68 6.03 6.03 6.03 6.03 6.36 0.66
10.08 13.91 13.91 13.91 13.91 13.15 1.53
3.16 4.46 4.46 4.46 4.46 4.20 0.52
-9.85 -8.98 -8.98 -8.98 -8.98 -9.15 0.35
5.86 7.85 7.85 7.85 7.85 7.46 0.80
-0.75 -1.36 -1.36 -1.36 -1.36 -1.24 0.24
0.02 0.02 0.02 0.02 0.02 0.02 0.00
3.22 3.02 3.02 3.02 3.02 3.06 0.08
0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.44 0.23 0.23 0.23 0.23 0.27 0.08
-0.04 0.04 0.04 0.04 0.04 0.02 0.03
-0.02 -0.04 -0.04 -0.04 -0.04 -0.04 0.01
-0.01 -0.13 -0.13 -0.13 -0.13 -0.11 0.05
0.04 -0.05 -0.05 -0.05 -0.05 -0.03 0.04
0.11 0.04 0.04 0.04 0.04 0.05 0.03
0.00 0.10 0.10 0.10 0.10 0.08 0.04
-0.09 0.06 0.06 0.06 0.06 0.03 0.06
-0.03 -0.02 -0.02 -0.02 -0.02 -0.02 0.00
0.05 -0.01 -0.01 -0.01 -0.01 0.00 0.03
0.05 -0.12 -0.12 -0.12 -0.12 -0.08 0.07
0.09 0.07 0.07 0.07 0.07 0.07 0.01
-0.13 0.03 0.03 0.03 0.03 -0.00 0.06
0.07 0.05 0.05 0.05 0.05 0.05 0.01
-0.10 0.00 0.00 0.00 0.00 -0.02 0.04
6.47 9.00 9.00 9.00 9.00 8.49 1.01
